itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Do you consider yourself a Democrat, a Republican, an independent or a member of another party?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Democrat,30%,25%,35%,29%,32%,26%,35%,25%,56%,36%,32%,34%,27%,33%,19%,41%,44%,45%,32%,18%,37%,30%,29%,59%,5%,14%,100%,0%,0%,67%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Republican,30%,32%,30%,23%,25%,34%,36%,38%,5%,23%,21%,25%,34%,31%,43%,9%,19%,21%,21%,47%,30%,27%,33%,3%,59%,14%,0%,100%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Independent,30%,33%,28%,34%,30%,33%,25%,30%,30%,29%,30%,34%,28%,32%,29%,40%,25%,22%,37%,27%,25%,32%,32%,32%,26%,41%,0%,0%,100%,28%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Another party,3%,5%,2%,7%,5%,2%,<1%,3%,<1%,4%,10%,2%,4%,2%,4%,3%,4%,6%,2%,3%,2%,7%,3%,2%,3%,7%,0%,0%,0%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,7%,6%,5%,8%,8%,4%,4%,4%,8%,8%,7%,4%,7%,3%,6%,7%,8%,7%,7%,5%,6%,4%,3%,3%,7%,24%,0%,0%,0%,2%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If independent, another party or not sure)  And as of today, do you lean more to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The Democratic Party,37%,31%,45%,43%,32%,29%,54%,39%,45%,33%,27%,45%,33%,52%,31%,36%,36%,42%,38%,30%,37%,42%,41%,77%,6%,12%,-,-,41%,100%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The Republican Party,39%,45%,38%,47%,38%,48%,26%,47%,22%,35%,38%,34%,44%,36%,54%,31%,31%,34%,35%,50%,47%,43%,40%,10%,75%,22%,-,-,44%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,24%,24%,17%,10%,30%,23%,20%,14%,33%,32%,35%,21%,23%,12%,15%,32%,34%,23%,27%,19%,16%,15%,19%,12%,18%,66%,-,-,15%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,413,221,173,85,106,128,71,252,49,60,31,209,196,135,116,69,71,89,205,119,90,106,167,176,166,71,,,321,159
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,50%,44%,19%,25%,31%,19%,61%,12%,13%,8%,38%,60%,24%,37%,13%,20%,19%,51%,31%,23%,26%,37%,41%,42%,17%,,,75%,37%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Combined: Party identification and leaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Combined: Party identification and leaners,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Combined: Party identification and leaners,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The Democratic Party,45%,38%,51%,50%,46%,38%,51%,39%,74%,50%,45%,53%,40%,52%,31%,59%,57%,59%,50%,29%,50%,48%,44%,88%,7%,23%,100%,0%,41%,100%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",The Republican Party,46%,51%,43%,45%,41%,53%,44%,55%,13%,37%,39%,39%,51%,44%,64%,25%,30%,33%,37%,65%,45%,46%,48%,7%,86%,30%,0%,100%,44%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,10%,11%,6%,5%,13%,9%,6%,5%,13%,13%,16%,8%,9%,4%,6%,16%,13%,8%,13%,7%,5%,7%,7%,5%,7%,47%,0%,0%,15%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Who did you vote for in the 2020 presidential election between Donald Trump and Joe Biden, or did you not vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump,35%,36%,35%,22%,28%,45%,38%,44%,4%,27%,20%,28%,39%,33%,51%,14%,18%,21%,27%,53%,37%,34%,34%,2%,70%,16%,3%,81%,25%,3%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Joe Biden,43%,39%,48%,39%,46%,39%,51%,39%,72%,44%,48%,59%,34%,58%,25%,66%,50%,55%,49%,28%,36%,47%,50%,85%,6%,28%,85%,6%,47%,83%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",I did not vote,16%,20%,12%,36%,21%,9%,6%,13%,23%,24%,21%,9%,21%,7%,18%,14%,27%,18%,17%,12%,23%,16%,10%,10%,20%,24%,10%,12%,18%,12%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Someone else,2%,2%,1%,3%,3%,3%,<1%,2%,<1%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,1%,2%,<1%,2%,10%,<.5%,<.5%,5%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,4%,3%,4%,<1%,2%,4%,4%,3%,<1%,3%,8%,3%,4%,1%,4%,4%,3%,4%,4%,4%,1%,1%,3%,2%,3%,22%,1%,<1%,4%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
