itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,13%,15%,12%,4%,14%,13%,17%,15%,7%,13%,11%,14%,13%,14%,15%,11%,10%,15%,8%,15%,13%,10%,16%,12%,12%,13%,17%,9%,13%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,16%,19%,12%,3%,13%,15%,23%,17%,13%,11%,13%,14%,15%,15%,18%,12%,10%,18%,18%,13%,16%,14%,16%,16%,16%,16%,11%,15%,13%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<1%,<1%,0%,0%,0%,2%,0%,0%,0%,2%,0%,<1%,0%,0%,0%,<1%,0%,0%,2%,0%,0%,1%,<1%,1%,0%,4%,1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If social media user)  How often, if ever, do you use TikTok?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Often,16%,14%,18%,43%,21%,12%,3%,11%,37%,28%,17%,12%,19%,8%,13%,21%,33%,10%,16%,21%,16%,19%,16%,15%,15%,17%,16%,18%,17%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Sometimes,9%,8%,10%,13%,14%,8%,4%,9%,10%,13%,5%,8%,10%,8%,9%,8%,11%,11%,10%,7%,8%,8%,7%,11%,7%,9%,15%,9%,8%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rarely,12%,10%,13%,13%,11%,13%,10%,11%,13%,15%,13%,11%,12%,10%,11%,13%,14%,13%,9%,12%,11%,10%,14%,9%,15%,9%,6%,14%,7%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Never,47%,48%,46%,29%,42%,51%,58%,53%,26%,33%,51%,54%,43%,58%,50%,45%,31%,48%,47%,44%,50%,49%,45%,48%,45%,48%,48%,43%,54%,47%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Never use social media,16%,19%,12%,3%,13%,15%,23%,17%,13%,11%,13%,14%,15%,15%,18%,12%,10%,18%,18%,13%,16%,14%,16%,16%,16%,16%,11%,15%,13%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[PREVIOUSLY] Don't know/Refused,<1%,<1%,<1%,0%,0%,0%,2%,0%,0%,0%,2%,0%,<1%,0%,0%,0%,<1%,0%,0%,2%,0%,0%,1%,<1%,1%,0%,4%,1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very liberal,11%,10%,13%,18%,11%,11%,9%,12%,12%,7%,15%,18%,8%,19%,8%,16%,8%,10%,15%,8%,14%,15%,12%,8%,24%,<1%,3%,28%,0%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat liberal,12%,9%,15%,23%,11%,9%,13%,10%,17%,17%,20%,13%,12%,13%,8%,15%,20%,9%,14%,12%,13%,12%,14%,9%,21%,4%,5%,21%,1%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Moderate,36%,37%,35%,34%,39%,37%,32%,35%,38%,38%,43%,43%,33%,39%,33%,50%,35%,37%,39%,35%,35%,37%,40%,32%,41%,32%,34%,36%,24%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat conservative,19%,19%,19%,7%,21%,24%,20%,20%,14%,21%,10%,13%,22%,14%,24%,11%,16%,24%,16%,20%,17%,15%,16%,25%,7%,30%,26%,7%,36%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very conservative,16%,20%,13%,10%,12%,17%,23%,18%,15%,14%,8%,10%,20%,13%,22%,4%,17%,16%,11%,18%,18%,14%,15%,19%,4%,30%,7%,4%,36%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,5%,5%,8%,6%,4%,3%,4%,5%,4%,3%,3%,6%,2%,5%,4%,5%,5%,4%,6%,3%,6%,3%,6%,3%,3%,24%,4%,2%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Which of the following general income categories is your total household income before taxes?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Under $25,000",10%,9%,11%,15%,5%,6%,18%,10%,16%,6%,9%,4%,13%,4%,14%,4%,13%,9%,6%,13%,10%,10%,7%,13%,9%,10%,12%,11%,11%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $25,000 but under $50,000",15%,12%,19%,19%,12%,12%,20%,13%,22%,22%,14%,8%,19%,9%,16%,6%,27%,17%,6%,18%,17%,21%,12%,15%,17%,14%,13%,19%,15%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $50,000 but under $100,000",26%,21%,30%,29%,26%,22%,30%,27%,26%,25%,23%,21%,29%,22%,31%,23%,26%,29%,26%,24%,26%,20%,27%,28%,25%,26%,31%,25%,31%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $100,000 but under $200,000",27%,34%,21%,19%,31%,37%,17%,30%,22%,23%,23%,37%,22%,36%,26%,40%,14%,27%,31%,24%,30%,26%,31%,25%,28%,29%,16%,25%,25%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","$200,000 or more",13%,15%,10%,8%,18%,16%,9%,14%,6%,8%,20%,24%,6%,25%,7%,21%,5%,13%,15%,13%,10%,14%,14%,11%,15%,12%,4%,14%,12%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,9%,9%,8%,11%,8%,6%,8%,6%,8%,16%,10%,7%,10%,4%,7%,7%,14%,5%,16%,10%,6%,10%,10%,8%,7%,9%,23%,5%,7%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Catholic,19%,19%,20%,20%,15%,19%,23%,17%,10%,42%,20%,19%,19%,17%,16%,24%,25%,19%,27%,15%,19%,13%,25%,16%,20%,20%,12%,23%,20%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Protestant (Christian),28%,28%,28%,24%,19%,29%,36%,29%,33%,21%,24%,32%,25%,33%,27%,31%,24%,22%,23%,34%,28%,28%,25%,31%,21%,35%,27%,21%,40%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mormon (LDS),1%,1%,2%,2%,1%,<1%,2%,2%,0%,1%,0%,1%,2%,2%,2%,0%,<1%,1%,0%,<1%,5%,2%,2%,<.5%,<1%,2%,0%,<.5%,3%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Jewish,2%,3%,2%,3%,3%,2%,2%,3%,3%,0%,1%,4%,2%,6%,1%,0%,2%,<1%,6%,2%,2%,4%,2%,1%,4%,<1%,4%,4%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Muslim,<1%,<1%,<.5%,1%,<1%,0%,<1%,<.5%,0%,0%,6%,1%,<.5%,<.5%,<.5%,4%,0%,0%,1%,<.5%,1%,2%,<.5%,<.5%,1%,<.5%,0%,2%,0%,<.5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",11%,10%,12%,7%,10%,14%,14%,10%,28%,4%,6%,6%,15%,4%,14%,8%,15%,14%,10%,14%,7%,12%,7%,16%,9%,15%,4%,11%,20%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Greek/Russian Orthodox,<.5%,0%,<.5%,0%,0%,<1%,0%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<1%,<.5%,0%,0%,<.5%,0%,0%,<.5%,<1%,0%,<1%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some other religion (specify),3%,3%,3%,3%,3%,4%,3%,3%,4%,<1%,7%,3%,3%,4%,2%,<1%,5%,2%,5%,2%,4%,5%,3%,2%,3%,3%,3%,2%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No religious affiliation,31%,32%,29%,38%,46%,29%,17%,34%,19%,27%,34%,30%,32%,32%,35%,29%,26%,38%,25%,28%,34%,32%,31%,29%,40%,21%,33%,35%,13%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,4%,2%,2%,2%,3%,2%,2%,3%,1%,3%,3%,1%,2%,3%,2%,4%,3%,5%,<1%,2%,3%,4%,1%,2%,17%,1%,1%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,26%,26%,26%,18%,20%,30%,31%,26%,40%,19%,20%,20%,30%,21%,30%,18%,32%,19%,16%,36%,26%,26%,22%,31%,16%,36%,20%,18%,42%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,18%,17%,18%,17%,13%,19%,22%,18%,25%,8%,17%,21%,15%,21%,17%,21%,12%,19%,23%,15%,16%,20%,15%,18%,18%,19%,11%,17%,21%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",55%,56%,54%,64%,65%,50%,45%,54%,32%,72%,63%,57%,54%,57%,53%,59%,54%,61%,61%,47%,57%,52%,62%,49%,66%,43%,64%,65%,34%,60%
