itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $50,000 but under $100,000",30%,31%,30%,37%,32%,29%,30%,29%,29%,30%,34%,26%,33%,25%,33%,28%,33%,28%,27%,33%,31%,28%,31%,30%,30%,30%,33%,34%,27%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $100,000 but under $200,000",27%,31%,23%,22%,34%,31%,19%,28%,26%,23%,25%,38%,19%,40%,20%,35%,17%,26%,32%,28%,21%,26%,27%,27%,33%,23%,15%,33%,23%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","$200,000 or more",14%,17%,11%,5%,15%,19%,12%,15%,7%,12%,17%,22%,8%,23%,10%,20%,4%,14%,12%,9%,21%,15%,13%,14%,12%,15%,12%,10%,19%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,7%,4%,10%,5%,5%,6%,9%,6%,12%,8%,8%,5%,8%,4%,7%,8%,9%,6%,7%,8%,8%,6%,9%,7%,6%,7%,17%,4%,7%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Catholic,20%,22%,18%,16%,18%,25%,17%,18%,4%,43%,26%,20%,20%,19%,18%,23%,28%,18%,34%,11%,23%,24%,25%,12%,17%,22%,24%,18%,21%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Protestant (Christian),31%,31%,31%,19%,30%,29%,39%,32%,42%,19%,17%,32%,30%,35%,31%,25%,28%,44%,19%,37%,19%,28%,30%,33%,26%,36%,24%,22%,41%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mormon (LDS),2%,<1%,3%,4%,2%,2%,<.5%,2%,<.5%,3%,0%,1%,2%,1%,2%,2%,1%,<1%,0%,1%,5%,<1%,2%,2%,<1%,3%,1%,<.5%,3%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Jewish,2%,2%,2%,2%,3%,2%,2%,3%,2%,<.5%,1%,4%,1%,5%,2%,2%,<.5%,1%,6%,1%,2%,2%,3%,2%,4%,1%,0%,4%,1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Muslim,<1%,<.5%,2%,1%,3%,<1%,0%,<.5%,6%,0%,2%,2%,<1%,<1%,<.5%,4%,<1%,1%,2%,<.5%,<.5%,2%,<1%,<.5%,<1%,<1%,3%,1%,0%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",13%,10%,16%,10%,6%,15%,16%,12%,23%,12%,8%,8%,16%,7%,16%,10%,17%,6%,4%,24%,10%,9%,8%,20%,10%,16%,8%,11%,20%,7%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Greek/Russian Orthodox,<.5%,0%,<1%,0%,0%,0%,2%,<1%,0%,0%,0%,0%,<1%,0%,1%,0%,0%,0%,0%,0%,2%,0%,0%,1%,1%,0%,0%,2%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some other religion (specify),2%,2%,1%,<1%,4%,<1%,2%,<.5%,1%,1%,17%,3%,<1%,1%,<.5%,9%,1%,2%,2%,<1%,2%,3%,2%,<1%,2%,1%,<1%,2%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No religious affiliation,27%,30%,23%,47%,30%,22%,20%,28%,20%,19%,30%,28%,26%,31%,27%,23%,21%,21%,32%,23%,33%,28%,27%,25%,35%,18%,33%,37%,13%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,3%,<.5%,3%,3%,2%,2%,3%,2%,0%,1%,4%,<1%,3%,2%,2%,5%,<1%,2%,3%,2%,3%,3%,3%,2%,6%,1%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,29%,27%,31%,18%,23%,32%,37%,29%,45%,25%,11%,23%,33%,24%,32%,20%,35%,30%,13%,42%,23%,25%,25%,36%,22%,38%,18%,22%,46%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,16%,16%,17%,17%,19%,13%,17%,16%,15%,13%,28%,21%,13%,19%,13%,24%,13%,20%,9%,18%,17%,18%,16%,15%,18%,15%,13%,14%,14%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",51%,55%,46%,60%,56%,52%,41%,51%,31%,60%,58%,54%,49%,55%,49%,52%,48%,46%,74%,34%,59%,57%,55%,42%,56%,43%,64%,60%,36%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,4%,2%,6%,5%,3%,4%,5%,4%,8%,2%,3%,3%,5%,2%,5%,5%,4%,4%,4%,6%,1%,0%,4%,6%,4%,4%,5%,3%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Own home or apartment,72%,73%,71%,18%,70%,82%,85%,79%,56%,49%,63%,76%,69%,81%,78%,63%,49%,77%,75%,71%,66%,60%,68%,83%,69%,74%,72%,68%,78%,70%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rent home or apartment,23%,23%,24%,64%,27%,15%,12%,18%,36%,40%,35%,21%,25%,16%,18%,32%,40%,20%,22%,24%,28%,36%,27%,13%,26%,21%,25%,26%,19%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another living arrangement,3%,2%,4%,14%,1%,2%,2%,2%,4%,10%,2%,3%,4%,3%,2%,4%,8%,2%,2%,4%,5%,3%,4%,3%,4%,3%,2%,6%,3%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,2%,<.5%,4%,2%,<1%,<.5%,<1%,3%,2%,0%,<.5%,2%,<.5%,1%,<.5%,3%,<1%,1%,1%,2%,<1%,1%,1%,1%,2%,<1%,<.5%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Democratic Party,37%,41%,33%,43%,33%,27%,46%,38%,37%,38%,39%,51%,28%,57%,25%,40%,38%,39%,43%,34%,31%,47%,41%,27%,83%,4%,13%,-,-,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Republican Party,46%,47%,44%,43%,44%,56%,44%,50%,25%,31%,47%,35%,54%,33%,60%,37%,32%,41%,41%,49%,54%,35%,43%,54%,3%,89%,35%,-,-,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,17%,12%,22%,15%,23%,17%,10%,13%,38%,31%,14%,14%,18%,10%,15%,23%,31%,19%,16%,17%,15%,17%,16%,19%,14%,7%,52%,-,-,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,344,195,144,62,95,107,64,213,35,54,28,164,178,103,110,54,62,87,73,119,65,72,158,114,124,162,58,,,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,52%,47%,16%,23%,28%,28%,67%,7%,14%,8%,41%,58%,26%,41%,13%,15%,26%,21%,33%,20%,16%,47%,37%,39%,43%,17%,,,87%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Democratic Party,45%,44%,46%,54%,46%,40%,47%,40%,79%,48%,49%,57%,37%,56%,29%,61%,58%,39%,53%,39%,50%,61%,48%,32%,91%,7%,16%,100%,0%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Republican Party,49%,52%,46%,39%,44%,55%,50%,56%,11%,39%,45%,38%,56%,41%,65%,29%,32%,52%,40%,54%,45%,34%,46%,60%,5%,91%,43%,0%,100%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,5%,8%,7%,9%,5%,4%,5%,10%,13%,6%,5%,7%,4%,5%,9%,10%,9%,6%,6%,5%,5%,6%,7%,5%,2%,41%,0%,0%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,22%,34%,28%,69%,10%,12%,6%,40%,59%,27%,42%,12%,17%,22%,20%,34%,24%,20%,43%,37%,44%,48%,8%,31%,32%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,33%,41%,26%,31%,37%,37%,29%,32%,34%,27%,42%,39%,29%,39%,28%,37%,30%,27%,37%,35%,32%,40%,35%,27%,34%,33%,28%,36%,25%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,67%,59%,74%,69%,63%,63%,71%,68%,66%,73%,58%,61%,71%,61%,72%,63%,70%,73%,63%,65%,68%,60%,65%,73%,66%,67%,72%,64%,75%,61%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
