itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, multiple times",55%,55%,54%,53%,47%,60%,60%,52%,58%,47%,46%,55%,69%,56%,54%,52%,55%,66%,49%,67%,50%,66%,49%,58%,58%,49%,81%,34%,46%,85%
How satisfied are you with the way things are going in your life these days?,"Yes, just once",16%,15%,18%,15%,19%,15%,15%,18%,14%,21%,17%,15%,14%,15%,20%,20%,14%,14%,17%,14%,16%,14%,20%,16%,17%,15%,12%,19%,20%,10%
How satisfied are you with the way things are going in your life these days?,No,28%,28%,26%,31%,33%,23%,24%,29%,26%,31%,35%,29%,16%,27%,25%,26%,30%,18%,32%,18%,33%,17%,30%,26%,23%,34%,6%,45%,31%,5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,1%,2%,1%,1%,2%,<1%,1%,2%,<1%,2%,1%,1%,1%,<1%,2%,<1%,2%,1%,1%,1%,2%,<1%,1%,2%,2%,<1%,2%,3%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, you are a member",7%,5%,5%,12%,6%,8%,6%,9%,4%,4%,9%,7%,6%,7%,6%,5%,5%,5%,8%,5%,9%,7%,5%,7%,6%,8%,6%,7%,7%,7%
How satisfied are you with the way things are going in your life these days?,"Yes, another member of your household is a member",5%,5%,3%,7%,5%,7%,5%,4%,7%,8%,5%,5%,4%,5%,3%,7%,7%,6%,5%,6%,5%,6%,6%,5%,5%,7%,5%,5%,6%,5%
How satisfied are you with the way things are going in your life these days?,"Yes, you and another member of your household are members",2%,<1%,<.5%,3%,3%,3%,1%,2%,2%,1%,2%,3%,2%,2%,1%,2%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,2%,2%,4%,2%
How satisfied are you with the way things are going in your life these days?,No,84%,87%,89%,77%,85%,80%,88%,83%,85%,84%,82%,84%,87%,84%,87%,83%,83%,84%,84%,85%,83%,81%,85%,84%,86%,82%,85%,84%,80%,84%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,2%,3%,2%,1%,<1%,2%,<.5%,<1%,2%,3%,2%,<1%,1%,1%,2%,3%,2%,2%,2%,<1%,1%,3%,2%,2%,2%,1%,2%,1%,3%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very liberal,10%,9%,10%,7%,10%,13%,11%,8%,12%,14%,13%,6%,10%,10%,9%,11%,12%,15%,8%,15%,7%,14%,9%,13%,12%,6%,20%,1%,8%,23%
How satisfied are you with the way things are going in your life these days?,Somewhat liberal,12%,10%,10%,12%,11%,14%,15%,10%,15%,15%,13%,12%,9%,12%,13%,16%,11%,14%,11%,14%,10%,13%,13%,14%,12%,10%,21%,4%,13%,21%
How satisfied are you with the way things are going in your life these days?,Moderate,35%,36%,35%,37%,35%,35%,33%,37%,34%,36%,36%,36%,34%,35%,43%,32%,38%,38%,34%,37%,34%,44%,36%,34%,36%,36%,42%,29%,36%,41%
How satisfied are you with the way things are going in your life these days?,Somewhat conservative,20%,21%,21%,22%,20%,19%,18%,22%,18%,16%,19%,23%,19%,21%,19%,21%,16%,17%,22%,17%,22%,16%,20%,18%,19%,23%,10%,30%,17%,9%
How satisfied are you with the way things are going in your life these days?,Very conservative,16%,19%,16%,14%,16%,15%,19%,19%,14%,10%,10%,17%,24%,19%,5%,11%,13%,13%,18%,14%,22%,9%,9%,13%,15%,20%,3%,30%,7%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,6%,6%,9%,8%,7%,4%,4%,5%,7%,9%,7%,6%,5%,4%,11%,9%,10%,4%,7%,3%,5%,5%,12%,8%,5%,6%,4%,6%,19%,4%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Under $25,000",9%,9%,8%,8%,11%,8%,11%,7%,12%,12%,9%,8%,10%,8%,15%,10%,13%,4%,12%,3%,10%,5%,16%,12%,8%,9%,11%,8%,11%,9%
How satisfied are you with the way things are going in your life these days?,"At least $25,000 but under $50,000",17%,14%,15%,20%,20%,18%,16%,14%,20%,21%,13%,13%,23%,16%,21%,24%,12%,8%,22%,8%,21%,10%,24%,19%,16%,17%,17%,18%,15%,16%
How satisfied are you with the way things are going in your life these days?,"At least $50,000 but under $100,000",29%,28%,31%,30%,24%,27%,34%,31%,27%,32%,29%,28%,30%,30%,28%,26%,28%,28%,30%,28%,31%,30%,27%,27%,29%,32%,29%,29%,28%,30%
How satisfied are you with the way things are going in your life these days?,"At least $100,000 but under $200,000",25%,29%,25%,24%,23%,25%,23%,28%,22%,19%,31%,30%,17%,27%,18%,21%,25%,34%,20%,34%,23%,33%,16%,23%,26%,24%,25%,25%,21%,26%
How satisfied are you with the way things are going in your life these days?,"$200,000 or more",10%,9%,11%,7%,12%,11%,8%,12%,8%,7%,12%,14%,5%,11%,8%,4%,11%,18%,5%,19%,6%,16%,4%,10%,11%,8%,10%,10%,9%,11%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,10%,11%,10%,10%,10%,11%,8%,8%,11%,8%,6%,6%,15%,8%,10%,15%,11%,8%,10%,8%,8%,7%,13%,9%,10%,10%,9%,10%,17%,8%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Catholic,18%,17%,10%,19%,19%,21%,26%,19%,18%,18%,14%,20%,22%,19%,4%,40%,11%,17%,19%,18%,19%,14%,20%,18%,20%,17%,19%,18%,15%,20%
How satisfied are you with the way things are going in your life these days?,Protestant (Christian),28%,29%,34%,27%,19%,31%,28%,27%,29%,19%,24%,29%,38%,29%,35%,19%,19%,29%,28%,30%,29%,29%,24%,24%,26%,33%,21%,35%,26%,22%
How satisfied are you with the way things are going in your life these days?,Mormon (LDS),2%,5%,<1%,<.5%,3%,<1%,<1%,2%,2%,1%,2%,2%,2%,2%,<.5%,2%,<.5%,2%,1%,3%,2%,1%,<1%,2%,1%,2%,<1%,3%,<1%,1%
How satisfied are you with the way things are going in your life these days?,Jewish,2%,2%,<1%,2%,2%,3%,1%,2%,1%,1%,2%,2%,1%,2%,<.5%,<.5%,2%,3%,1%,3%,1%,<1%,<1%,4%,2%,<1%,2%,1%,3%,3%
How satisfied are you with the way things are going in your life these days?,Muslim,<1%,<.5%,<.5%,<1%,<1%,2%,1%,<1%,<1%,1%,<1%,1%,<.5%,<.5%,3%,<.5%,4%,<1%,<1%,<.5%,<.5%,2%,2%,1%,<1%,<1%,<1%,<1%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,"[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",12%,8%,25%,11%,7%,8%,12%,11%,13%,9%,11%,15%,11%,11%,22%,7%,11%,9%,13%,8%,13%,13%,14%,8%,10%,17%,9%,14%,11%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Greek/Russian Orthodox,<.5%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,Some other religion (specify),3%,4%,2%,4%,4%,2%,3%,3%,3%,5%,3%,3%,2%,3%,1%,2%,12%,4%,3%,2%,3%,8%,3%,4%,3%,2%,4%,2%,3%,3%
How satisfied are you with the way things are going in your life these days?,No religious affiliation,31%,33%,24%,32%,43%,30%,27%,33%,30%,43%,42%,26%,22%,31%,30%,28%,38%,33%,31%,34%,30%,29%,33%,36%,34%,25%,40%,23%,35%,39%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,1%,3%,4%,3%,3%,1%,2%,2%,3%,1%,3%,3%,2%,4%,1%,3%,3%,2%,2%,2%,4%,2%,3%,3%,2%,2%,3%,4%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,23%,22%,40%,19%,15%,23%,18%,21%,25%,16%,20%,26%,27%,22%,33%,20%,18%,20%,24%,19%,24%,25%,25%,18%,21%,28%,15%,30%,20%,15%
How satisfied are you with the way things are going in your life these days?,No,22%,24%,21%,25%,18%,19%,27%,23%,22%,20%,21%,23%,23%,24%,26%,9%,24%,24%,22%,24%,23%,24%,18%,22%,20%,26%,21%,23%,25%,21%
How satisfied are you with the way things are going in your life these days?,"[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",53%,52%,35%,55%,64%,56%,54%,54%,51%,62%,57%,49%,47%,53%,37%,69%,55%,54%,52%,56%,51%,47%,55%,58%,57%,44%,62%,45%,53%,62%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,2%,2%,4%,1%,3%,1%,<1%,1%,2%,2%,2%,1%,3%,2%,4%,1%,3%,2%,2%,1%,2%,4%,2%,2%,2%,2%,1%,2%,3%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,The Democratic Party,35%,40%,30%,34%,30%,36%,40%,28%,44%,40%,34%,28%,40%,34%,44%,37%,31%,41%,32%,39%,31%,47%,35%,43%,36%,28%,79%,7%,23%,86%
