itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Have you gotten any doses of a Covid-19 vaccine, including boosters?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, multiple times",60%,56%,65%,48%,56%,60%,71%,60%,58%,67%,73%,53%,72%,53%,79%,54%,72%,49%,56%,76%,69%,56%,42%,75%,65%,46%,85%,38%,57%,86%
How satisfied are you with the way things are going in your life these days?,"Yes, just once",15%,18%,12%,23%,16%,16%,9%,15%,20%,15%,15%,15%,15%,14%,15%,19%,9%,11%,17%,11%,19%,12%,21%,10%,15%,17%,11%,17%,23%,10%
How satisfied are you with the way things are going in your life these days?,No,23%,25%,21%,26%,26%,23%,18%,23%,22%,18%,11%,30%,11%,31%,7%,26%,17%,38%,26%,14%,9%,29%,36%,15%,18%,34%,4%,43%,11%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,2%,2%,2%,1%,2%,2%,<1%,0%,2%,2%,2%,2%,0%,<1%,2%,2%,0%,0%,3%,3%,1%,0%,2%,2%,<.5%,2%,9%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, you are a member",8%,10%,6%,3%,8%,9%,10%,8%,8%,8%,7%,8%,7%,8%,9%,8%,6%,11%,4%,18%,7%,5%,8%,16%,5%,7%,8%,8%,7%,9%
How satisfied are you with the way things are going in your life these days?,"Yes, another member of your household is a member",7%,6%,8%,9%,10%,6%,5%,8%,2%,10%,8%,7%,7%,8%,11%,3%,4%,7%,6%,3%,6%,13%,12%,4%,6%,11%,6%,8%,9%,6%
How satisfied are you with the way things are going in your life these days?,"Yes, you and another member of your household are members",3%,4%,3%,1%,3%,5%,3%,2%,7%,7%,4%,3%,3%,2%,11%,5%,3%,9%,2%,6%,<1%,2%,1%,5%,2%,4%,4%,2%,6%,4%
How satisfied are you with the way things are going in your life these days?,No,80%,79%,80%,84%,76%,79%,80%,81%,78%,73%,79%,80%,81%,80%,67%,80%,86%,70%,87%,69%,85%,77%,77%,72%,86%,75%,82%,79%,71%,81%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,2%,1%,3%,3%,4%,<1%,2%,2%,5%,1%,2%,2%,2%,2%,2%,4%,2%,3%,1%,4%,2%,3%,<1%,3%,1%,3%,<1%,3%,8%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very liberal,13%,9%,17%,19%,21%,7%,12%,13%,13%,19%,20%,9%,21%,7%,15%,16%,23%,6%,18%,20%,14%,8%,4%,22%,15%,6%,25%,<.5%,21%,27%
How satisfied are you with the way things are going in your life these days?,Somewhat liberal,14%,13%,15%,16%,13%,17%,10%,14%,15%,17%,17%,12%,17%,12%,18%,15%,18%,11%,11%,15%,18%,12%,12%,19%,15%,10%,24%,5%,12%,24%
How satisfied are you with the way things are going in your life these days?,Moderate,35%,34%,36%,38%,35%,37%,32%,34%,43%,43%,35%,36%,33%,34%,39%,45%,28%,27%,38%,45%,37%,37%,33%,37%,35%,34%,40%,30%,37%,38%
How satisfied are you with the way things are going in your life these days?,Somewhat conservative,19%,21%,18%,10%,18%,21%,22%,20%,17%,12%,16%,21%,15%,23%,20%,13%,18%,28%,13%,12%,17%,18%,29%,12%,17%,25%,8%,30%,16%,8%
How satisfied are you with the way things are going in your life these days?,Very conservative,15%,19%,10%,11%,9%,13%,21%,17%,5%,4%,11%,16%,11%,20%,6%,4%,11%,22%,15%,<1%,13%,22%,17%,3%,14%,22%,<1%,30%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,4%,3%,5%,4%,5%,2%,3%,7%,5%,2%,5%,2%,4%,2%,8%,2%,6%,5%,7%,2%,2%,5%,6%,3%,3%,1%,5%,13%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Under $25,000",8%,5%,10%,10%,3%,8%,11%,8%,13%,4%,3%,11%,3%,11%,2%,13%,3%,14%,8%,8%,5%,5%,13%,7%,7%,10%,8%,8%,9%,7%
How satisfied are you with the way things are going in your life these days?,"At least $25,000 but under $50,000",18%,15%,21%,17%,17%,13%,25%,17%,24%,25%,9%,24%,9%,22%,10%,31%,8%,24%,27%,23%,11%,18%,17%,21%,15%,20%,18%,19%,18%,17%
How satisfied are you with the way things are going in your life these days?,"At least $50,000 but under $100,000",27%,28%,26%,32%,24%,29%,26%,29%,19%,26%,23%,30%,21%,33%,34%,17%,31%,32%,27%,37%,24%,28%,15%,34%,27%,24%,28%,28%,20%,29%
How satisfied are you with the way things are going in your life these days?,"At least $100,000 but under $200,000",25%,29%,22%,25%,34%,25%,18%,27%,25%,14%,35%,19%,39%,19%,20%,20%,30%,20%,18%,16%,28%,30%,34%,17%,26%,28%,25%,27%,17%,24%
How satisfied are you with the way things are going in your life these days?,"$200,000 or more",11%,13%,9%,7%,14%,14%,6%,11%,6%,17%,22%,4%,21%,4%,24%,4%,17%,2%,8%,8%,18%,8%,9%,10%,14%,7%,14%,8%,11%,16%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,11%,10%,11%,9%,8%,9%,13%,9%,14%,14%,8%,12%,7%,11%,11%,15%,12%,6%,13%,7%,13%,11%,12%,11%,10%,12%,8%,12%,25%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Catholic,21%,22%,20%,16%,13%,25%,26%,23%,7%,21%,20%,21%,22%,23%,9%,14%,27%,18%,29%,18%,24%,6%,21%,23%,23%,17%,21%,20%,28%,22%
How satisfied are you with the way things are going in your life these days?,Protestant (Christian),31%,34%,29%,18%,26%,29%,44%,32%,24%,25%,27%,33%,27%,36%,29%,22%,22%,41%,24%,27%,22%,45%,40%,27%,26%,40%,20%,43%,20%,21%
How satisfied are you with the way things are going in your life these days?,Mormon (LDS),<1%,<1%,<.5%,0%,<1%,<1%,<1%,<1%,0%,0%,<1%,<.5%,<1%,<1%,0%,0%,0%,<1%,<1%,0%,0%,2%,0%,<1%,0%,1%,<.5%,<1%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,Jewish,3%,3%,3%,1%,5%,2%,2%,3%,0%,1%,6%,<1%,7%,<1%,1%,0%,8%,0%,<.5%,4%,5%,0%,1%,5%,4%,<.5%,5%,1%,2%,6%
How satisfied are you with the way things are going in your life these days?,Muslim,2%,2%,2%,5%,2%,2%,<.5%,0%,15%,4%,0%,3%,0%,0%,0%,16%,0%,0%,2%,8%,2%,<1%,2%,5%,2%,1%,1%,3%,1%,1%
How satisfied are you with the way things are going in your life these days?,"[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",8%,6%,10%,7%,7%,8%,8%,8%,11%,5%,6%,9%,6%,9%,6%,10%,9%,13%,8%,2%,7%,8%,8%,2%,8%,11%,6%,11%,2%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Greek/Russian Orthodox,<.5%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,<1%,0%,<1%,0%,0%,0%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,0%
How satisfied are you with the way things are going in your life these days?,Some other religion (specify),2%,2%,2%,6%,2%,2%,1%,2%,3%,5%,2%,2%,2%,2%,7%,2%,0%,2%,3%,5%,2%,<.5%,2%,4%,2%,2%,2%,2%,7%,1%
How satisfied are you with the way things are going in your life these days?,No religious affiliation,30%,29%,30%,45%,42%,28%,15%,29%,34%,33%,34%,27%,33%,27%,37%,32%,29%,21%,31%,35%,34%,33%,22%,33%,33%,24%,43%,18%,30%,42%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,2%,4%,3%,3%,4%,3%,2%,6%,5%,3%,3%,2%,2%,10%,3%,4%,4%,1%,2%,4%,4%,3%,1%,4%,3%,2%,3%,11%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,23%,22%,25%,13%,17%,22%,33%,23%,24%,21%,16%,27%,15%,28%,19%,24%,20%,33%,18%,17%,15%,36%,29%,16%,21%,30%,13%,35%,9%,11%
How satisfied are you with the way things are going in your life these days?,No,19%,22%,17%,20%,16%,18%,24%,20%,20%,16%,22%,18%,21%,19%,29%,14%,13%,19%,21%,23%,17%,20%,25%,19%,16%,24%,17%,20%,28%,18%
How satisfied are you with the way things are going in your life these days?,"[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",56%,55%,56%,67%,64%,58%,43%,56%,54%,62%,61%,53%,63%,51%,51%,60%,67%,43%,60%,60%,67%,43%,45%,63%,62%,44%,70%,42%,63%,71%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,1%,<1%,2%,<.5%,3%,2%,0%,1%,2%,2%,<1%,2%,<.5%,2%,2%,2%,0%,5%,0%,0%,1%,<1%,<1%,2%,1%,1%,<.5%,2%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
