itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $50,000 but under $100,000",29%,30%,29%,34%,30%,28%,29%,29%,26%,27%,31%,27%,31%,25%,32%,27%,28%,29%,27%,31%,29%,26%,30%,30%,29%,29%,29%,33%,27%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","At least $100,000 but under $200,000",25%,30%,20%,21%,32%,29%,17%,26%,23%,22%,25%,38%,17%,40%,18%,34%,17%,25%,28%,25%,21%,23%,26%,24%,31%,22%,13%,31%,21%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","$200,000 or more",12%,15%,9%,4%,13%,18%,10%,14%,5%,9%,15%,21%,7%,22%,9%,19%,3%,12%,12%,8%,19%,12%,12%,13%,11%,13%,12%,9%,17%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,8%,4%,12%,7%,6%,7%,9%,6%,12%,8%,11%,6%,8%,4%,8%,10%,9%,6%,9%,9%,8%,7%,9%,7%,8%,6%,15%,5%,6%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Catholic,20%,22%,18%,17%,18%,24%,17%,18%,6%,41%,22%,19%,20%,18%,17%,21%,27%,17%,35%,11%,23%,25%,24%,11%,16%,21%,28%,18%,22%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Protestant (Christian),29%,29%,30%,18%,28%,29%,40%,31%,40%,19%,14%,31%,29%,33%,31%,24%,26%,41%,18%,37%,17%,25%,28%,34%,26%,34%,21%,22%,39%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Mormon (LDS),2%,<1%,3%,4%,1%,2%,<.5%,2%,<1%,3%,0%,1%,2%,1%,2%,2%,2%,<1%,0%,1%,5%,<1%,2%,2%,<1%,3%,<1%,<.5%,2%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Jewish,2%,2%,2%,2%,3%,2%,2%,3%,1%,<1%,1%,4%,1%,5%,1%,2%,<1%,1%,5%,1%,2%,2%,3%,2%,3%,1%,0%,4%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Muslim,1%,<1%,2%,1%,3%,1%,0%,<1%,8%,0%,1%,3%,<1%,1%,<.5%,6%,<1%,2%,3%,1%,<.5%,3%,2%,<.5%,<1%,1%,5%,2%,0%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",13%,10%,15%,11%,7%,15%,16%,13%,19%,10%,10%,7%,15%,7%,16%,8%,15%,8%,4%,21%,11%,8%,9%,19%,11%,15%,6%,10%,20%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Greek/Russian Orthodox,<.5%,0%,<1%,0%,0%,0%,2%,<1%,0%,0%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,0%,2%,0%,0%,1%,<1%,0%,0%,1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Some other religion (specify),2%,2%,2%,1%,4%,1%,1%,<.5%,1%,2%,15%,3%,<1%,<1%,<.5%,8%,2%,2%,2%,<1%,3%,4%,2%,<1%,3%,1%,<1%,3%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No religious affiliation,28%,32%,25%,46%,33%,24%,19%,30%,22%,21%,36%,30%,27%,32%,29%,26%,24%,24%,32%,24%,35%,28%,28%,28%,35%,21%,33%,37%,14%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,3%,2%,3%,<.5%,3%,2%,2%,2%,2%,3%,0%,2%,3%,1%,3%,2%,2%,5%,<1%,2%,3%,3%,2%,2%,2%,2%,5%,1%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Without combination) (If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,28%,26%,30%,18%,21%,31%,39%,29%,43%,23%,12%,22%,31%,24%,32%,18%,32%,31%,13%,40%,22%,23%,24%,36%,22%,37%,16%,22%,45%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,16%,16%,17%,17%,18%,12%,17%,16%,14%,13%,26%,20%,14%,18%,15%,23%,13%,19%,9%,17%,18%,18%,15%,16%,19%,14%,12%,16%,13%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",52%,56%,48%,59%,59%,53%,40%,52%,37%,62%,59%,56%,50%,57%,48%,55%,52%,47%,76%,37%,59%,59%,56%,43%,55%,46%,69%,59%,38%,57%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Refused,4%,2%,6%,6%,2%,4%,4%,4%,7%,2%,2%,2%,5%,2%,5%,4%,4%,3%,3%,6%,2%,0%,4%,5%,4%,4%,3%,3%,4%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you own or rent your home or apartment?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Own home or apartment,66%,66%,65%,20%,64%,78%,81%,75%,49%,42%,56%,72%,62%,78%,73%,58%,41%,72%,68%,64%,60%,53%,61%,78%,63%,68%,61%,63%,73%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Rent home or apartment,29%,28%,29%,61%,32%,18%,17%,21%,44%,44%,41%,24%,31%,19%,23%,36%,47%,24%,28%,30%,32%,41%,33%,16%,30%,26%,36%,29%,22%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another living arrangement,4%,4%,5%,16%,2%,2%,2%,3%,4%,11%,3%,4%,5%,3%,3%,5%,8%,3%,2%,5%,7%,4%,5%,4%,5%,4%,3%,8%,4%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,1%,2%,<.5%,3%,2%,<1%,<.5%,<1%,3%,3%,0%,<.5%,2%,<.5%,1%,<1%,4%,<1%,1%,2%,2%,2%,1%,2%,1%,2%,<1%,<.5%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(If independent, another party or not sure)  And as of today, do you lean more to:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Democratic Party,34%,36%,32%,41%,30%,24%,42%,36%,30%,31%,34%,47%,26%,53%,26%,36%,29%,38%,36%,32%,29%,39%,39%,25%,81%,5%,9%,-,-,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Republican Party,46%,48%,43%,43%,46%,56%,45%,50%,32%,35%,41%,35%,53%,36%,59%,33%,38%,42%,44%,48%,51%,41%,41%,55%,3%,88%,33%,-,-,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,20%,16%,25%,16%,24%,20%,13%,14%,38%,34%,25%,18%,21%,11%,16%,31%,32%,21%,20%,20%,20%,20%,20%,20%,16%,7%,58%,-,-,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,344,195,144,62,95,107,64,213,35,54,28,164,178,103,110,54,62,87,73,119,65,72,158,114,124,162,58,,,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,54%,45%,19%,26%,26%,24%,63%,9%,16%,8%,37%,61%,23%,40%,13%,20%,25%,21%,35%,18%,19%,45%,35%,37%,44%,19%,,,82%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Combined: Party identification and leaners,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Democratic Party,43%,41%,45%,54%,43%,38%,44%,39%,72%,43%,46%,56%,36%,55%,29%,57%,52%,38%,50%,39%,48%,55%,47%,31%,90%,7%,13%,100%,0%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",The Republican Party,49%,52%,45%,38%,46%,55%,50%,56%,15%,41%,42%,37%,56%,41%,65%,29%,35%,52%,42%,52%,46%,37%,44%,61%,4%,90%,40%,0%,100%,46%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,7%,9%,8%,11%,7%,5%,5%,13%,16%,12%,7%,8%,4%,6%,14%,13%,10%,8%,8%,7%,8%,9%,8%,6%,3%,47%,0%,0%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,31%,25%,66%,11%,14%,7%,37%,62%,25%,41%,12%,20%,21%,21%,35%,23%,22%,42%,36%,43%,48%,10%,29%,30%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,33%,41%,25%,29%,38%,37%,28%,32%,33%,29%,40%,40%,28%,41%,27%,37%,30%,29%,37%,33%,32%,39%,34%,27%,33%,33%,31%,35%,25%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,67%,59%,75%,71%,62%,63%,72%,68%,67%,71%,60%,60%,72%,59%,73%,63%,70%,71%,63%,67%,68%,61%,66%,73%,67%,67%,69%,65%,75%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,823,417,396,129,207,282,167,533,92,121,59,391,429,261,271,121,150,174,177,286,186,189,350,284,349,401,73,246,233,277
