itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Are you, or is any member of your household, a member of a labor union?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Yes, you are a member",7%,4%,4%,13%,6%,8%,6%,9%,5%,3%,10%,7%,7%,7%,7%,6%,6%,6%,8%,5%,9%,8%,5%,8%,6%,7%,7%,7%,9%,8%
How satisfied are you with the way things are going in your life these days?,"Yes, another member of your household is a member",6%,5%,4%,8%,6%,8%,5%,4%,7%,10%,5%,6%,4%,6%,4%,8%,7%,6%,5%,7%,5%,6%,6%,5%,5%,7%,6%,6%,6%,5%
How satisfied are you with the way things are going in your life these days?,"Yes, you and another member of your household are members",2%,<1%,<.5%,4%,3%,3%,1%,2%,2%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,5%,2%
How satisfied are you with the way things are going in your life these days?,No,84%,89%,91%,75%,84%,79%,87%,84%,85%,82%,82%,84%,87%,84%,86%,82%,82%,84%,84%,85%,83%,80%,85%,83%,86%,83%,84%,85%,79%,84%
How satisfied are you with the way things are going in your life these days?,[VOL] Don’t know/Refused,1%,2%,1%,1%,<1%,2%,<.5%,<1%,2%,3%,1%,<1%,<1%,<1%,2%,3%,2%,2%,1%,<1%,<1%,3%,2%,1%,1%,<1%,1%,<1%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very liberal,11%,10%,11%,8%,11%,13%,10%,8%,13%,17%,15%,7%,10%,10%,10%,12%,15%,15%,8%,16%,7%,14%,11%,14%,13%,6%,21%,1%,8%,23%
How satisfied are you with the way things are going in your life these days?,Somewhat liberal,12%,10%,8%,13%,10%,14%,16%,9%,14%,16%,13%,11%,9%,11%,13%,13%,9%,14%,10%,14%,10%,11%,12%,13%,13%,10%,21%,3%,10%,21%
How satisfied are you with the way things are going in your life these days?,Moderate,35%,35%,35%,39%,36%,34%,34%,36%,35%,37%,36%,37%,34%,35%,45%,33%,39%,39%,34%,37%,34%,46%,37%,36%,35%,36%,43%,28%,43%,42%
How satisfied are you with the way things are going in your life these days?,Somewhat conservative,20%,19%,20%,21%,20%,20%,17%,21%,18%,14%,20%,23%,18%,20%,16%,21%,15%,16%,21%,16%,22%,17%,19%,17%,18%,23%,9%,29%,18%,8%
How satisfied are you with the way things are going in your life these days?,Very conservative,18%,22%,19%,15%,18%,16%,19%,21%,16%,11%,12%,18%,25%,20%,5%,14%,15%,13%,21%,15%,24%,9%,11%,15%,17%,22%,2%,34%,8%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,5%,4%,7%,4%,5%,3%,4%,4%,5%,6%,5%,4%,4%,3%,11%,7%,7%,3%,6%,2%,4%,4%,10%,5%,4%,5%,3%,4%,13%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Which of the following general income categories is your total household income before taxes?,Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Under $25,000",8%,7%,7%,7%,9%,7%,9%,5%,10%,11%,6%,7%,9%,7%,13%,9%,10%,3%,11%,3%,9%,3%,15%,10%,7%,8%,9%,7%,8%,8%
How satisfied are you with the way things are going in your life these days?,"At least $25,000 but under $50,000",16%,13%,13%,19%,19%,18%,16%,13%,19%,18%,11%,13%,23%,16%,18%,21%,11%,8%,21%,8%,21%,9%,22%,17%,15%,17%,16%,17%,14%,16%
How satisfied are you with the way things are going in your life these days?,"At least $50,000 but under $100,000",29%,28%,30%,29%,25%,28%,36%,31%,28%,33%,30%,28%,30%,30%,27%,25%,28%,28%,30%,28%,32%,29%,26%,27%,28%,32%,30%,29%,27%,30%
How satisfied are you with the way things are going in your life these days?,"At least $100,000 but under $200,000",26%,31%,26%,27%,24%,26%,23%,30%,23%,21%,34%,32%,18%,28%,22%,25%,27%,34%,22%,34%,24%,35%,19%,26%,28%,25%,27%,27%,24%,28%
How satisfied are you with the way things are going in your life these days?,"$200,000 or more",11%,10%,13%,7%,13%,11%,9%,13%,8%,8%,13%,15%,5%,11%,9%,5%,14%,18%,6%,19%,7%,17%,5%,11%,12%,8%,10%,11%,10%,11%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,10%,11%,10%,11%,10%,11%,8%,8%,11%,8%,6%,6%,14%,8%,10%,15%,10%,8%,10%,8%,8%,7%,13%,9%,10%,10%,8%,10%,17%,8%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Catholic,18%,16%,9%,20%,19%,21%,26%,19%,18%,18%,13%,20%,21%,19%,4%,41%,11%,17%,19%,18%,19%,15%,20%,19%,20%,16%,19%,19%,17%,19%
How satisfied are you with the way things are going in your life these days?,Protestant (Christian),30%,31%,36%,29%,20%,33%,29%,29%,31%,19%,25%,29%,39%,31%,38%,18%,20%,30%,30%,31%,31%,30%,25%,26%,28%,34%,21%,38%,27%,22%
How satisfied are you with the way things are going in your life these days?,Mormon (LDS),2%,5%,<1%,<.5%,4%,<1%,<1%,2%,2%,<1%,2%,2%,2%,2%,<.5%,3%,<1%,2%,2%,3%,2%,<1%,1%,2%,1%,2%,<1%,3%,1%,1%
How satisfied are you with the way things are going in your life these days?,Jewish,2%,2%,<1%,2%,2%,3%,1%,2%,1%,1%,2%,2%,2%,2%,<.5%,<1%,2%,3%,1%,4%,1%,<.5%,<1%,4%,2%,<1%,3%,1%,3%,3%
How satisfied are you with the way things are going in your life these days?,Muslim,<1%,<.5%,<.5%,<.5%,<1%,1%,1%,<1%,<1%,1%,<.5%,<1%,<.5%,<.5%,2%,<.5%,4%,<.5%,<1%,<.5%,<.5%,2%,2%,<1%,<1%,<1%,<.5%,<.5%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,"[VOL] Christian (includes Baptist, Lutheran, Episcopalian, Methodist, Adventist, Presbyterian)",12%,8%,27%,11%,7%,8%,12%,11%,13%,10%,12%,14%,10%,11%,26%,7%,12%,8%,14%,7%,14%,13%,17%,8%,9%,17%,9%,15%,10%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Greek/Russian Orthodox,<.5%,<1%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%
How satisfied are you with the way things are going in your life these days?,Some other religion (specify),3%,3%,3%,2%,4%,2%,2%,3%,3%,5%,3%,3%,2%,3%,1%,2%,11%,3%,3%,2%,3%,7%,3%,4%,3%,2%,4%,2%,3%,3%
How satisfied are you with the way things are going in your life these days?,No religious affiliation,30%,32%,21%,30%,40%,28%,26%,30%,29%,42%,40%,26%,22%,30%,25%,28%,35%,33%,28%,34%,28%,28%,29%,33%,33%,24%,40%,20%,33%,39%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,1%,3%,5%,3%,3%,<1%,2%,3%,3%,1%,3%,3%,2%,4%,<1%,4%,3%,2%,2%,2%,4%,2%,3%,3%,2%,2%,3%,4%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion)  Do you consider yourself an evangelical or born-again Christian?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Yes,24%,23%,43%,21%,15%,25%,18%,23%,26%,15%,21%,27%,28%,23%,39%,21%,20%,21%,26%,19%,25%,27%,28%,18%,23%,30%,15%,33%,22%,14%
How satisfied are you with the way things are going in your life these days?,No,23%,25%,21%,23%,19%,20%,27%,23%,22%,21%,21%,23%,23%,24%,27%,8%,23%,24%,22%,24%,23%,23%,18%,24%,19%,26%,22%,23%,22%,22%
How satisfied are you with the way things are going in your life these days?,"[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",51%,50%,32%,54%,63%,54%,53%,53%,50%,62%,56%,49%,46%,51%,30%,69%,54%,54%,50%,55%,49%,47%,52%,57%,56%,42%,62%,42%,54%,62%
How satisfied are you with the way things are going in your life these days?,[VOL] Refused,2%,2%,3%,1%,3%,1%,<1%,1%,2%,2%,2%,1%,3%,2%,4%,2%,3%,2%,2%,1%,2%,3%,2%,2%,2%,2%,1%,3%,2%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If independent, another party or not sure)  And as of today, do you lean more to:",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,The Democratic Party,37%,42%,33%,38%,29%,37%,41%,29%,46%,44%,36%,31%,39%,36%,51%,34%,31%,43%,33%,42%,32%,47%,35%,43%,39%,29%,81%,6%,25%,86%
How satisfied are you with the way things are going in your life these days?,The Republican Party,43%,42%,44%,40%,45%,43%,43%,52%,32%,38%,41%,47%,44%,47%,25%,35%,39%,34%,49%,39%,53%,25%,38%,31%,40%,54%,6%,82%,13%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,21%,16%,23%,22%,26%,19%,16%,19%,22%,18%,23%,22%,17%,16%,24%,31%,30%,23%,19%,19%,15%,28%,27%,26%,20%,17%,13%,12%,62%,10%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,425",228,212,246,242,263,234,835,563,320,392,400,267,982,141,127,118,654,762,480,498,139,242,334,627,464,532,657,236,377
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,15%,18%,19%,12%,19%,55%,44%,17%,26%,32%,21%,71%,8%,9%,8%,38%,61%,27%,43%,9%,16%,23%,42%,35%,37%,47%,16%,27%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Combined: Party identification and leaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Combined: Party identification and leaners,Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
